name                                       ,category       ,file                    ,link
ICBC                                       ,Adamantium     ,icbc.svg                ,https://sysar.my/icbc
Openqube                                   ,Adamantium     ,openqube.svg            ,https://sysar.my/openqube
BBVA                                       ,Diamond        ,bbva.svg                ,https://sysar.my/bbva
NEORIS                                     ,Diamond        ,neoris.svg              ,https://sysar.my/neoris
Galicia                                    ,Diamond        ,galicia.svg             ,https://sysar.my/galicia
AGEA (Clarín)                              ,Diamond        ,clarin.svg              ,https://sysar.my/clarin
Accenture                                  ,Platinum       ,accenture.svg           ,https://sysar.my/accenture
NTT Data                                   ,Platinum       ,nttdata.svg             ,https://sysar.my/ntt
Naranja X                                  ,Platinum       ,naranjax.svg            ,https://sysar.my/naranjax
Telecom                                    ,Platinum       ,telecom.svg             ,https://sysar.my/telecom
Microsoft                                  ,Platinum       ,microsoft.svg           ,https://sysar.my/microsoft
DigitalNaoTecmilenio                       ,Platinum       ,digitalnaox.svg         ,https://sysar.my/digitalnao
Tecmilenio                                 ,Platinum       ,tecmilenio.svg          ,https://sysar.my/tecmilenio
Kopius                                     ,Gold           ,kopius.svg              ,https://sysar.my/kopius
Santander                                  ,Gold           ,santander.svg           ,https://sysar.my/santander
Mirgor                                     ,Gold           ,mirgor.svg              ,https://sysar.my/mirgor
IT Resources                               ,Gold           ,itr.svg                 ,https://sysar.my/itresources
monashees                                  ,Gold           ,monashees.svg           ,https://sysar.my/monashees
IPLAN                                      ,Gold           ,iplan.svg               ,https://sysar.my/iplan
Payoneer                                   ,Gold           ,payoneer.png            ,https://sysar.my/payoneer
WeWork                                     ,Gold           ,wework.svg              ,https://sysar.my/wework
Linux Professional Institute               ,Gold           ,lpi.svg                 ,https://sysar.my/lpi
Prisma Medios de Pago                      ,Gold           ,prisma.svg              ,https://sysar.my/prisma
AreaTres                                   ,Gold           ,areatres.svg            ,https://sysar.my/areatres
Kin+Carta                                  ,Silver         ,kincarta.svg            ,https://sysar.my/kinandcarta
Softtek                                    ,Silver         ,softtek.svg             ,https://sysar.my/softtek
WeHouse                                    ,Silver         ,wehouse.svg             ,https://sysar.my/wehouse
EmiLabs                                    ,Silver         ,emilabs.svg             ,https://sysar.my/emilabs
Fu.do                                      ,Silver         ,fudo.svg                ,https://sysar.my/fudo
Redbee                                     ,Silver         ,redbee_studio.svg       ,https://sysar.my/redbee
Ekumen                                     ,Silver         ,ekumen.svg              ,https://sysar.my/ekumen
Svitla                                     ,Silver         ,svitla.svg              ,https://sysar.my/svitla
Galileo+Technisys                          ,Silver         ,galileo+technisys.svg   ,https://sysar.my/galileo
UMA                                        ,Silver         ,uma.svg                 ,https://sysar.my/uma
Datalytics                                 ,Bronze         ,datalytics.svg          ,https://sysar.my/datalytics
Caylent                                    ,Bronze         ,caylent.svg             ,https://sysar.my/caylent
Crowdar                                    ,Bronze         ,crowdar.svg             ,https://sysar.my/crowdar
Wyeworks                                   ,Bronze         ,wyeworks.svg            ,https://sysar.my/wyeworks
Interbanking                               ,Bronze         ,interbanking.svg        ,https://sysar.my/interbanking
Oracle                                     ,Bronze         ,oracle.svg              ,https://sysar.my/oracle
IT Patagonia                               ,Bronze         ,itpatagonia.svg         ,https://sysar.my/itpatagonia
Iquall Networks                            ,Bronze         ,iquallnetworks.svg      ,https://sysar.my/iquallnetworks
COELSA                                     ,Bronze         ,coelsa.svg              ,https://sysar.my/coelsa
Pipol Hub                                  ,Bronze         ,pipol.svg               ,https://sysar.my/pipol
Donweb Cloud                               ,Bronze         ,donweb.svg              ,https://sysar.my/donweb
Envíalo Simple                             ,Bronze         ,envialosimple.svg       ,https://sysar.my/envialosimple
Ordina                                     ,Bronze         ,ordina.svg              ,https://sysar.my/ordina
Civo                                       ,Bronze         ,civo.svg                ,https://sysar.my/civo
Modak                                      ,Bronze         ,modak.svg               ,https://sysar.my/modak
Computer History Museum                    ,Nos apoyan     ,chm.png                 ,https://sysar.my/chm
Open Source Initiative                     ,Nos apoyan     ,osi.png                 ,https://sysar.my/osi
ISOC                                       ,Nos apoyan     ,isoc.png                ,https://sysar.my/isoc
The Linux Fundation                        ,Nos apoyan     ,linuxfundation.png      ,https://www.linuxfoundation.org/
Planetario                                 ,Nos apoyan     ,planetario.svg          ,https://planetario.buenosaires.gob.ar/
Museo de Informática                       ,Nos apoyan     ,museoinformatica.png    ,https://sysar.my/museoinformatica
Huesped                                    ,Nos apoyan     ,huesped.svg             ,https://www.huesped.org.ar/
El Gato y La Caja                          ,Nos apoyan     ,elgatoylacaja.svg       ,https://sysar.my/elgatoylacaja
BungeBorn                                  ,Nos apoyan     ,bungeborn.png           ,https://www.fundacionbyb.org
Chicas en Tecnología                       ,Nos apoyan     ,cet.svg                 ,https://chicasentecnologia.org/
Roboteam                                   ,Nos apoyan     ,roboteam.png            ,https://ewh.ieee.org/r9/argentina/roboteam/
Chalin Tech                                ,Nos apoyan     ,chalintech.svg          ,https://instagram.com/chalintech
UADE                                       ,Nos apoyan     ,uade.png                ,https://sysar.my/uade
ORT                                        ,Nos apoyan     ,ort.svg                 ,https://sysar.my/ort
Investigaciones UBA                        ,Nos apoyan     ,ubainvestigacion.png    ,https://cyt.rec.uba.ar
Departamento de Computación de Exactas-UBA ,Nos apoyan     ,deptocomputacionuba.png ,https://www.dc.uba.ar
UTN-FRBA                                   ,Nos apoyan     ,utn.svg                 ,https://www.frba.utn.edu.ar 
UTN-INSPT                                  ,Nos apoyan     ,utn-inspt.svg           ,https://inspt.utn.edu.ar
UDESA                                      ,Nos apoyan     ,udesa.svg               ,https://udesa.edu.ar/
Enfoque Lúdico                             ,Nos apoyan     ,enfoque_ludico.svg      ,https://enfoqueludico.com
Mujeres en Tecnología                      ,Nos apoyan     ,met.svg                 ,https://mujeresentecnologia.org/
Incluyeme.com                              ,Nos apoyan     ,incluyeme.com.svg       ,https://incluyeme.com/
Eidos                                      ,Nos apoyan     ,eidos.svg               ,https://www.eidosglobal.org/
ITgrarte                                   ,Nos apoyan     ,itgrarte.png            ,https://sysar.my/itgrarte
ADVA                                       ,Nos apoyan     ,adva.svg                ,https://adva.vg/
Fundación FLOR                             ,Nos apoyan     ,flor.svg                ,https://www.flor.org.ar/
TransTI                                    ,Nos apoyan     ,transti.svg             ,https://trans-ti.com
Nahual Argentina                           ,Nos apoyan     ,nahual_argentina.svg    ,http://www.nahual.com.ar/
Nahual Uruguay                             ,Nos apoyan     ,nahual_uruguay.svg      ,https://nahual.uy/
Mocha Celis                                ,Nos apoyan     ,mocha.svg               ,https://mochacelis.org
Metadocencia                               ,Nos apoyan     ,metadocencia.png        ,https://www.metadocencia.org
